name,milliseconds
"How Many More Times",711836
"Advance Romance",677694
"Sleeping Village",644571
"You Shook Me(2)",619467
"Talkin' 'Bout Women Obviously",589531
Stratus,582086
"No More Tears",555075
"The Alchemist",509413
"Wheels Of Confusion / The Straightener",494524
"Book Of Thel",494393
"You Oughta Know (Alternate)",491885
Terra,482429
"Snoopy's search-Red baron",456071
"Sozinho (Hitmakers Classic Mix)",436636
"Master Of Puppets",436453
"Stone Crazy",433397
Snowblind,420022
"Computadores Fazem Arte",404323
Jerusalem,402390
"Dazed and Confused",401920
"The Winner Loses",392254
"Love, Hate, Love",387134
"ConstruÃ§Ã£o / Deus Lhe Pague",383059
"Black Sabbath",382066
"Livin' On The Edge",381231
"I Can't Quit You Baby(2)",380551
"Princess of the Dawn",375418
"Harvester Of Sorrow",374543
"Whole Lotta Love",373394
"Momma's Gotta Die Tonight",371539
"Vai Passar",369763
"Wherever I May Roam",369345
Overdose,369319
N.I.B.,368770
"O Boto (BÃ´to)",366837
"Let There Be Rock",366654
"The Begining... At Last",365662
"Carolina Hard-Core Ecstasy",359680
"World Of Trouble",359157
"Trupets Of Jericho",359131
Amazing,356519
"Under The Sun/Every Day Comes and Goes",350458
"Welcome Home (Sanitarium)",350197
"There Goes The Neighborhood",350171
"Sea Of Sorrow",349831
Confusion,344163
"For Those About To Rock (We Salute You)",343719
"Shadow on the Sun",343457
"Balls to the Wall",342562
"Machine Men",341655
"I am the Highway",334942
"Muffin Man",332878
Snowblind,331676
"Go Down",331180
"Janie's Got A Gun",330736
"Bring'em Back Alive",329534
"Sozinho (CaÃªdrum 'n' Bass)",328071
"Problem Child",325041
"Whole Lotta Rosie",323761
"Intro/ Low Down",323683
"The Unforgiven",322925
"Love In An Elevator",321828
"Super Terrorizer",319373
"The pleasant pheasant",318066
"Body Count",317936
"Geni E O Zepelim",317570
"The Last Remaining Light",317492
Crazy,316656
"You Shook Me",315951
"Travelling Riverside Blues",312032
"Noite Do Prazer",311353
"What It Takes",310622
"The Curse",309786
Cryin',309263
"Creeping Death",308035
Angel,307617
"AtrÃ¡s Da Verd-E-Rosa SÃ³ NÃ£o Vai Quem JÃ¡ Morreu",307252
"Banditismo Por Uma Questa",307095
Extra,304352
"Light My Way",303595
"Stronger Than Death",300747
Voodoo,300721
Forgiven,300355
"Getaway Car",299598
"Linha Do Equador",299337
"#1 Zero",299102
"Onde VocÃª Mora?",298396
"Walk On Water",295680
Mel,294765
"Moon germs",294060
"Like a Stone",294034
"Wake Up",293485
"Out Of Exile",291291
"Na Frente Da TV",289750
"Sad But True",288208
"Rios Pontes & Overdrives",286720
"Man In The Box",286641
Changes,286275
Supernaut,285779
"The Tower",285257
"A Sombra Da Maldade",285231
"Garota De Ipanema",285048
Sunshine,284969
"All I Really Want",284891
"Blood In The Wall",284368
"Maracatu AtÃ´mico",284264
"Lost My Better Half",284081
"Bye, Bye Brasil",283402
"King In Crimson",283167
"Gavioes 2001",282723
"A Estrada",282174
"Born To Booze",282122
"Vida Boa",281730
"Freedom Of Speech",281234
"Mary Jane",280607
"Be Yourself",279484
Gasoline,279457
Dandelion,278125
"Show Me How to Live",277890
"It Ain't Like That",277577
"Heaven's Dead",276688
"Like A Bird",276532
"Vai-Vai 2001",276349
"Flor Do Futuro",275748
"Do what cha wanna",274155
"X-9 2001",273920
"Yesterday To Tomorrow",273763
"Phoney Smile Fake Hellos",273606
"Maracatu AtÃ´mico [Atomic Version]",273084
"A Cor Do Sol",273031
"200 Years Old",272561
"Samidarish [instrumental]",272431
"The Beginning...At Last",271960
"Canta, Canta Mais",271856
"Samba Makossa",271856
Spellbound,270863
"Killing Floor",269557
"Bad Boy Boogie",267728
"Head Over Feet",267493
"SÃ¡bado A Noite",267363
"Felicidade Urgente",266605
A.N.D.R.O.T.A.Z.,266266
"Gates Of Urizen",265351
"Dude (Looks Like A Lady)",264855
"The Wizard",264829
"Rag Doll",264698
FÃ©rias,264202
"I Can't Quit You Baby",263836
"Evil Walks",263497
"Breaking The Rules",263288
"Set It Off",263262
"I Know Somethin (Bout You)",261955
Quadrant,261851
"What is and Should Never Be",260675
"Meu Caro Amigo",260257
ConciliaÃ§Ã£o,257619
"Onde VocÃª Mora?",256026
"Doesn't Remind Me",255869
"Your Time Has Come",255529
"Johnny B. Goode",254615
"Hell Ain't A Bad Place To Be",254380
"Amor Demais",254040
"Cada Um Cada Um (A Namoradeira)",253492
"Dindi (Dindi)",253178
"Restless and Wild",252051
Ligia,251977
"A Luz De Tieta",251742
"Da Lama Ao Caos",251559
